geo,obsvalue,indicator,freq,obstime,unit,geo_source
NL11,13.387043313419118,PM2.5,1 year,2005,ug/m3,NUTS2003
IE01,8.672760170324706,PM2.5,1 year,2005,ug/m3,NUTS2003
NL12,12.680186253117206,PM2.5,1 year,2005,ug/m3,NUTS2003
DE93,14.304467896329394,PM2.5,1 year,2005,ug/m3,NUTS2003
NL13,13.736668943066054,PM2.5,1 year,2005,ug/m3,NUTS2003
NL23,14.182138826185101,PM2.5,1 year,2005,ug/m3,NUTS2003
UKG2,11.232583386615516,PM2.5,1 year,2005,ug/m3,NUTS2003
DE30,17.561106293359764,PM2.5,1 year,2005,ug/m3,NUTS2003
UKD2,12.088870869862369,PM2.5,1 year,2005,ug/m3,NUTS2003
DE50,14.521848128145972,PM2.5,1 year,2005,ug/m3,NUTS2003
UKF1,11.995706073927453,PM2.5,1 year,2005,ug/m3,NUTS2003
UKH1,11.368987602581187,PM2.5,1 year,2005,ug/m3,NUTS2003
NL21,14.50584025631118,PM2.5,1 year,2005,ug/m3,NUTS2003
UKG1,11.351498290869696,PM2.5,1 year,2005,ug/m3,NUTS2003
NL31,14.545780871899577,PM2.5,1 year,2005,ug/m3,NUTS2003
PL41,24.02080745341615,PM2.5,1 year,2005,ug/m3,NUTS2003
UKF2,11.372345905751658,PM2.5,1 year,2005,ug/m3,NUTS2003
UKG3,11.810918082967836,PM2.5,1 year,2005,ug/m3,NUTS2003
DE41,16.281679146651598,PM2.5,1 year,2005,ug/m3,NUTS2003
PL43,20.668354665109526,PM2.5,1 year,2005,ug/m3,NUTS2003
NL32,13.505390121586377,PM2.5,1 year,2005,ug/m3,NUTS2003
DE94,13.922050799658342,PM2.5,1 year,2005,ug/m3,NUTS2003
UKH2,11.70278949386503,PM2.5,1 year,2005,ug/m3,NUTS2003
DEE3,15.135849753234128,PM2.5,1 year,2005,ug/m3,NUTS2003
DEA4,13.935148099850968,PM2.5,1 year,2005,ug/m3,NUTS2003
DE92,14.381719677796164,PM2.5,1 year,2005,ug/m3,NUTS2003
ITC1,18.42369322938468,PM2.5,1 year,2005,ug/m3,NUTS2003
ITC3,12.525020874063213,PM2.5,1 year,2005,ug/m3,NUTS2003
FR61,12.570130591096543,PM2.5,1 year,2005,ug/m3,NUTS2003
ITE3,14.314880925354158,PM2.5,1 year,2005,ug/m3,NUTS2003
DE42,17.784231233917026,PM2.5,1 year,2005,ug/m3,NUTS2003
PL11,27.96489713579529,PM2.5,1 year,2005,ug/m3,NUTS2003
ITC4,22.484477648569055,PM2.5,1 year,2005,ug/m3,NUTS2003
ITD5,18.726380293321657,PM2.5,1 year,2005,ug/m3,NUTS2003
ES12,11.859165608872981,PM2.5,1 year,2005,ug/m3,NUTS2003
FR62,11.30220323654021,PM2.5,1 year,2005,ug/m3,NUTS2003
ES13,9.843614209154113,PM2.5,1 year,2005,ug/m3,NUTS2003
