geo,obsvalue,indicator,freq,obstime,unit,geo_source
AL,0.008541946462789274,Average of the Gross Building Height,NA,2018,m,NUTS2016
CZ,0.018463993011149513,Average of the Gross Building Height,NA,2018,m,NUTS2016
DE,0.036717765956833334,Average of the Gross Building Height,NA,2018,m,NUTS2016
DK,0.021661246390214755,Average of the Gross Building Height,NA,2018,m,NUTS2016
CY,0.022507487950306604,Average of the Gross Building Height,NA,2018,m,NUTS2016
AT,0.014753365863040636,Average of the Gross Building Height,NA,2018,m,NUTS2016
BE,0.07023072902230094,Average of the Gross Building Height,NA,2018,m,NUTS2016
BG,0.00873165629916211,Average of the Gross Building Height,NA,2018,m,NUTS2016
CH,0.026470721447708293,Average of the Gross Building Height,NA,2018,m,NUTS2016
EE,0.004061916571753005,Average of the Gross Building Height,NA,2018,m,NUTS2016
EL,0.011061252202157527,Average of the Gross Building Height,NA,2018,m,NUTS2016
ES,0.013122692955701992,Average of the Gross Building Height,NA,2018,m,NUTS2016
FI,0.0015897398449669319,Average of the Gross Building Height,NA,2018,m,NUTS2016
FR,0.02184599668421302,Average of the Gross Building Height,NA,2018,m,NUTS2016
HR,0.008720308753045254,Average of the Gross Building Height,NA,2018,m,NUTS2016
HU,0.0157900936907778,Average of the Gross Building Height,NA,2018,m,NUTS2016
IE,0.009581532689714308,Average of the Gross Building Height,NA,2018,m,NUTS2016
IS,0.0003446881746952898,Average of the Gross Building Height,NA,2018,m,NUTS2016
IT,0.032680322012028716,Average of the Gross Building Height,NA,2018,m,NUTS2016
LT,0.008022985027019727,Average of the Gross Building Height,NA,2018,m,NUTS2016
LU,0.03606335971570511,Average of the Gross Building Height,NA,2018,m,NUTS2016
BE3,0.032732340651250406,Average of the Gross Building Height,NA,2018,m,NUTS2016
NL,0.08109200819346629,Average of the Gross Building Height,NA,2018,m,NUTS2016
NO,0.0012593129678359649,Average of the Gross Building Height,NA,2018,m,NUTS2016
CH0,0.026470721447708293,Average of the Gross Building Height,NA,2018,m,NUTS2016
DE1,0.04559308332400426,Average of the Gross Building Height,NA,2018,m,NUTS2016
CY0,0.022507487950306604,Average of the Gross Building Height,NA,2018,m,NUTS2016
DEA,0.08681920885780331,Average of the Gross Building Height,NA,2018,m,NUTS2016
BG3,0.008015220027983471,Average of the Gross Building Height,NA,2018,m,NUTS2016
LV,0.0037821263364780063,Average of the Gross Building Height,NA,2018,m,NUTS2016
ME,0.0035153160969313224,Average of the Gross Building Height,NA,2018,m,NUTS2016
MT,0.20514023351631194,Average of the Gross Building Height,NA,2018,m,NUTS2016
MK,0.007560299678986964,Average of the Gross Building Height,NA,2018,m,NUTS2016
DE7,0.04563415611179279,Average of the Gross Building Height,NA,2018,m,NUTS2016
EL5,0.009345094093847853,Average of the Gross Building Height,NA,2018,m,NUTS2016
EL6,0.005749306265282913,Average of the Gross Building Height,NA,2018,m,NUTS2016
DE4,0.015652429102367773,Average of the Gross Building Height,NA,2018,m,NUTS2016
EE0,0.004061916571753005,Average of the Gross Building Height,NA,2018,m,NUTS2016
DEB,0.03616489363376522,Average of the Gross Building Height,NA,2018,m,NUTS2016
BE2,0.10812451596483004,Average of the Gross Building Height,NA,2018,m,NUTS2016
DEF,0.02724640926462357,Average of the Gross Building Height,NA,2018,m,NUTS2016
DEC,0.07771058718239895,Average of the Gross Building Height,NA,2018,m,NUTS2016
DEE,0.02301253542086709,Average of the Gross Building Height,NA,2018,m,NUTS2016
DED,0.03235445813583722,Average of the Gross Building Height,NA,2018,m,NUTS2016
EL3,0.1231218932203078,Average of the Gross Building Height,NA,2018,m,NUTS2016
EL4,0.009492889019852279,Average of the Gross Building Height,NA,2018,m,NUTS2016
DEG,0.020918056050686282,Average of the Gross Building Height,NA,2018,m,NUTS2016
DK0,0.021661246390214755,Average of the Gross Building Height,NA,2018,m,NUTS2016
DE2,0.02788038811947706,Average of the Gross Building Height,NA,2018,m,NUTS2016
DE3,0.3823172608445096,Average of the Gross Building Height,NA,2018,m,NUTS2016
DE8,0.011418305641585432,Average of the Gross Building Height,NA,2018,m,NUTS2016
CZ0,0.018463993011149513,Average of the Gross Building Height,NA,2018,m,NUTS2016
DE5,0.2962828384481598,Average of the Gross Building Height,NA,2018,m,NUTS2016
DE6,0.3480489345057705,Average of the Gross Building Height,NA,2018,m,NUTS2016
LI,0.04296276353972723,Average of the Gross Building Height,NA,2018,m,NUTS2016
BG4,0.009879030975258829,Average of the Gross Building Height,NA,2018,m,NUTS2016
DE9,0.029073004279931525,Average of the Gross Building Height,NA,2018,m,NUTS2016
AL0,0.008541946462789274,Average of the Gross Building Height,NA,2018,m,NUTS2016
PL,0.015059590363258669,Average of the Gross Building Height,NA,2018,m,NUTS2016
SI,0.011970010126101495,Average of the Gross Building Height,NA,2018,m,NUTS2016
SK,0.01482618004186214,Average of the Gross Building Height,NA,2018,m,NUTS2016
TR,0.006779049999591542,Average of the Gross Building Height,NA,2018,m,NUTS2016
UK,0.031619817251219116,Average of the Gross Building Height,NA,2018,m,NUTS2016
AT1,0.022512858739104618,Average of the Gross Building Height,NA,2018,m,NUTS2016
RS,0.010925761841314588,Average of the Gross Building Height,NA,2018,m,NUTS2016
SE,0.0025298731434310337,Average of the Gross Building Height,NA,2018,m,NUTS2016
PT,0.018227107595019176,Average of the Gross Building Height,NA,2018,m,NUTS2016
RO,0.009559676044107252,Average of the Gross Building Height,NA,2018,m,NUTS2016
ES4,0.004351436988082645,Average of the Gross Building Height,NA,2018,m,NUTS2016
ES7,,Average of the Gross Building Height,NA,2018,m,NUTS2016
FI1,0.0015887923270818025,Average of the Gross Building Height,NA,2018,m,NUTS2016
MT0,0.20514023351631194,Average of the Gross Building Height,NA,2018,m,NUTS2016
NL4,0.10482436443061986,Average of the Gross Building Height,NA,2018,m,NUTS2016
NO0,0.0012593129678359649,Average of the Gross Building Height,NA,2018,m,NUTS2016
FR1,0.119265363364038,Average of the Gross Building Height,NA,2018,m,NUTS2016
FRC,0.01149052490841431,Average of the Gross Building Height,NA,2018,m,NUTS2016
FRE,0.03274592018986103,Average of the Gross Building Height,NA,2018,m,NUTS2016
FRG,0.02535947854850569,Average of the Gross Building Height,NA,2018,m,NUTS2016
FRB,0.01449072011157439,Average of the Gross Building Height,NA,2018,m,NUTS2016
FRD,0.021152442302476808,Average of the Gross Building Height,NA,2018,m,NUTS2016
ES2,0.008446178759625323,Average of the Gross Building Height,NA,2018,m,NUTS2016
FRF,0.018632199978456023,Average of the Gross Building Height,NA,2018,m,NUTS2016
ES1,0.01175750475858907,Average of the Gross Building Height,NA,2018,m,NUTS2016
ES3,0.07275148111269618,Average of the Gross Building Height,NA,2018,m,NUTS2016
ES6,0.018702151647076917,Average of the Gross Building Height,NA,2018,m,NUTS2016
ES5,0.033810608726829706,Average of the Gross Building Height,NA,2018,m,NUTS2016
FI2,0.0018246501151514202,Average of the Gross Building Height,NA,2018,m,NUTS2016
ITG,0.022104585696815154,Average of the Gross Building Height,NA,2018,m,NUTS2016
FRH,0.02298912110746414,Average of the Gross Building Height,NA,2018,m,NUTS2016
AT3,0.013109976160784683,Average of the Gross Building Height,NA,2018,m,NUTS2016
BE1,0.7978525922342312,Average of the Gross Building Height,NA,2018,m,NUTS2016
FRL,0.03604349430178951,Average of the Gross Building Height,NA,2018,m,NUTS2016
ITH,0.03400462325157955,Average of the Gross Building Height,NA,2018,m,NUTS2016
FRI,0.014920955141091841,Average of the Gross Building Height,NA,2018,m,NUTS2016
ITC,0.052378274894319114,Average of the Gross Building Height,NA,2018,m,NUTS2016
LT0,0.008022985027019727,Average of the Gross Building Height,NA,2018,m,NUTS2016
LU0,0.03606335971570511,Average of the Gross Building Height,NA,2018,m,NUTS2016
LI0,0.04296276353972723,Average of the Gross Building Height,NA,2018,m,NUTS2016
FRK,0.021571206641430918,Average of the Gross Building Height,NA,2018,m,NUTS2016
FRY,,Average of the Gross Building Height,NA,2018,m,NUTS2016
HR0,0.008720308753045254,Average of the Gross Building Height,NA,2018,m,NUTS2016
HU1,0.059809666573408395,Average of the Gross Building Height,NA,2018,m,NUTS2016
ITI,0.028530448822797393,Average of the Gross Building Height,NA,2018,m,NUTS2016
HR043,0.009601777399777398,Average of the Gross Building Height,NA,2018,m,NUTS2016
FRJ,0.01668376207545836,Average of the Gross Building Height,NA,2018,m,NUTS2016
FRM,0.005685677208996349,Average of the Gross Building Height,NA,2018,m,NUTS2016
HU2,0.011150231728186974,Average of the Gross Building Height,NA,2018,m,NUTS2016
ITF,0.02646998442920147,Average of the Gross Building Height,NA,2018,m,NUTS2016
HU3,0.013074548061638913,Average of the Gross Building Height,NA,2018,m,NUTS2016
IE0,0.009581532689714308,Average of the Gross Building Height,NA,2018,m,NUTS2016
IS0,0.0003446881746952898,Average of the Gross Building Height,NA,2018,m,NUTS2016
AT2,0.009884340356731436,Average of the Gross Building Height,NA,2018,m,NUTS2016
PL4,0.012314950885472076,Average of the Gross Building Height,NA,2018,m,NUTS2016
PL8,0.011264996976506743,Average of the Gross Building Height,NA,2018,m,NUTS2016
RO2,0.009159091366468879,Average of the Gross Building Height,NA,2018,m,NUTS2016
PL9,0.021291800785561504,Average of the Gross Building Height,NA,2018,m,NUTS2016
RS2,0.0074744436917412544,Average of the Gross Building Height,NA,2018,m,NUTS2016
SE1,0.007782961239852798,Average of the Gross Building Height,NA,2018,m,NUTS2016
SE2,0.0066994094884556135,Average of the Gross Building Height,NA,2018,m,NUTS2016
SE3,0.000561368397404979,Average of the Gross Building Height,NA,2018,m,NUTS2016
PL7,0.016479971578595137,Average of the Gross Building Height,NA,2018,m,NUTS2016
RO4,0.007487641188664064,Average of the Gross Building Height,NA,2018,m,NUTS2016
PL2,0.028842154991677416,Average of the Gross Building Height,NA,2018,m,NUTS2016
RS1,0.018284918178842393,Average of the Gross Building Height,NA,2018,m,NUTS2016
CH02,0.0226861685577407,Average of the Gross Building Height,NA,2018,m,NUTS2016
CH03,0.0872567402144197,Average of the Gross Building Height,NA,2018,m,NUTS2016
AL02,0.018198727433275604,Average of the Gross Building Height,NA,2018,m,NUTS2016
AL03,0.006450642959944836,Average of the Gross Building Height,NA,2018,m,NUTS2016
BG33,0.010287356778278127,Average of the Gross Building Height,NA,2018,m,NUTS2016
DE13,0.035312285530662575,Average of the Gross Building Height,NA,2018,m,NUTS2016
CZ05,0.01644786176899373,Average of the Gross Building Height,NA,2018,m,NUTS2016
AT32,0.008454574749652888,Average of the Gross Building Height,NA,2018,m,NUTS2016
UKH,0.035682593752652036,Average of the Gross Building Height,NA,2018,m,NUTS2016
UKI,0.4529529154385583,Average of the Gross Building Height,NA,2018,m,NUTS2016
CH04,0.10246323040652154,Average of the Gross Building Height,NA,2018,m,NUTS2016
CH05,0.013930159935597167,Average of the Gross Building Height,NA,2018,m,NUTS2016
ES53,0.038577547829279045,Average of the Gross Building Height,NA,2018,m,NUTS2016
UKC,0.038782604591267276,Average of the Gross Building Height,NA,2018,m,NUTS2016
BG34,0.008431356448690414,Average of the Gross Building Height,NA,2018,m,NUTS2016
AT11,0.01298220984397396,Average of the Gross Building Height,NA,2018,m,NUTS2016
BG41,0.010891132824526632,Average of the Gross Building Height,NA,2018,m,NUTS2016
AT33,0.007764878938309601,Average of the Gross Building Height,NA,2018,m,NUTS2016
UKJ,0.05092831377619021,Average of the Gross Building Height,NA,2018,m,NUTS2016
DE14,0.030188367705226687,Average of the Gross Building Height,NA,2018,m,NUTS2016
AT34,0.02097776399137227,Average of the Gross Building Height,NA,2018,m,NUTS2016
BE10,0.7978525922342312,Average of the Gross Building Height,NA,2018,m,NUTS2016
BE21,0.15673113308400305,Average of the Gross Building Height,NA,2018,m,NUTS2016
BG42,0.008960505582402875,Average of the Gross Building Height,NA,2018,m,NUTS2016
