id,geo,obsvalue,indicator,freq,obstime,unit,geo_source
0,AL,27722.4,non-built-up,,2018,km2,NUTS2016
1,CZ,73521.28,non-built-up,,2018,km2,NUTS2016
2,DE,323031.24,non-built-up,,2018,km2,NUTS2016
3,DK,39801.08,non-built-up,,2018,km2,NUTS2016
4,CY,8627.76,non-built-up,,2018,km2,NUTS2016
5,AT,79222.52,non-built-up,,2018,km2,NUTS2016
6,BE,25187.64,non-built-up,,2018,km2,NUTS2016
7,BG,107315.12,non-built-up,,2018,km2,NUTS2016
8,CH,38291.840000000004,non-built-up,,2018,km2,NUTS2016
9,EE,44387.6,non-built-up,,2018,km2,NUTS2016
10,EL,126368.36,non-built-up,,2018,km2,NUTS2016
11,ES,481075.44,non-built-up,,2018,km2,NUTS2016
12,FI,334590.48,non-built-up,,2018,km2,NUTS2016
13,FR,509949.08,non-built-up,,2018,km2,NUTS2016
14,HR,54201.68,non-built-up,,2018,km2,NUTS2016
15,HU,87758.68000000001,non-built-up,,2018,km2,NUTS2016
16,IE,66715.44,non-built-up,,2018,km2,NUTS2016
17,IS,102540.6,non-built-up,,2018,km2,NUTS2016
18,IT,274571.52,non-built-up,,2018,km2,NUTS2016
19,LT,62660.56,non-built-up,,2018,km2,NUTS2016
20,LU,2369.08,non-built-up,,2018,km2,NUTS2016
21,BE3,15033.6,non-built-up,,2018,km2,NUTS2016
22,NL,31262.440000000002,non-built-up,,2018,km2,NUTS2016
23,NO,321359.60000000003,non-built-up,,2018,km2,NUTS2016
24,CH0,38291.840000000004,non-built-up,,2018,km2,NUTS2016
25,DE1,32134.24,non-built-up,,2018,km2,NUTS2016
26,CY0,8627.76,non-built-up,,2018,km2,NUTS2016
27,DEA,28130.36,non-built-up,,2018,km2,NUTS2016
28,BG3,66112.44,non-built-up,,2018,km2,NUTS2016
29,LV,63337.32,non-built-up,,2018,km2,NUTS2016
30,ME,13706.44,non-built-up,,2018,km2,NUTS2016
31,MT,192.0,non-built-up,,2018,km2,NUTS2016
32,MK,24729.12,non-built-up,,2018,km2,NUTS2016
33,DE7,18969.48,non-built-up,,2018,km2,NUTS2016
34,EL5,49765.48,non-built-up,,2018,km2,NUTS2016
35,EL6,56831.92,non-built-up,,2018,km2,NUTS2016
36,DE4,27887.600000000002,non-built-up,,2018,km2,NUTS2016
37,EE0,44387.6,non-built-up,,2018,km2,NUTS2016
38,DEB,18025.16,non-built-up,,2018,km2,NUTS2016
39,BE2,10107.52,non-built-up,,2018,km2,NUTS2016
40,DEF,14281.68,non-built-up,,2018,km2,NUTS2016
41,DEC,2155.64,non-built-up,,2018,km2,NUTS2016
42,DEE,19111.16,non-built-up,,2018,km2,NUTS2016
43,DED,16459.48,non-built-up,,2018,km2,NUTS2016
44,EL3,3046.8,non-built-up,,2018,km2,NUTS2016
45,EL4,16724.16,non-built-up,,2018,km2,NUTS2016
46,DEG,15058.16,non-built-up,,2018,km2,NUTS2016
47,DK0,39801.08,non-built-up,,2018,km2,NUTS2016
48,DE2,64433.48,non-built-up,,2018,km2,NUTS2016
49,DE3,393.24,non-built-up,,2018,km2,NUTS2016
50,DE8,22023.8,non-built-up,,2018,km2,NUTS2016
51,CZ0,73521.28,non-built-up,,2018,km2,NUTS2016
52,DE5,242.92000000000002,non-built-up,,2018,km2,NUTS2016
53,DE6,401.48,non-built-up,,2018,km2,NUTS2016
54,LI,140.8,non-built-up,,2018,km2,NUTS2016
55,BG4,41202.68,non-built-up,,2018,km2,NUTS2016
56,DE9,43323.36,non-built-up,,2018,km2,NUTS2016
57,AL0,27722.4,non-built-up,,2018,km2,NUTS2016
58,PL,291630.44,non-built-up,,2018,km2,NUTS2016
59,SI,19162.48,non-built-up,,2018,km2,NUTS2016
60,SK,46425.64,non-built-up,,2018,km2,NUTS2016
