mapineq,policy,regional,agencyID,id,Name.en,Name.fr,Name.de,version,uri,urn,isExternalReference,isFinal,validFrom,validTo,dsdRef
1,1,1,ESTAT,LFST_R_LFU2GAC,"Unemployment by sex, age, country of birth and NUTS 2 regions","Chômage par sexe, âge, pays de naissance et région NUTS 2","Arbeitslosigkeit nach Geschlecht, Alter, Geburtsland und NUTS-2-Regionen",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:LFST_R_LFU2GAC(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,LFST_R_LFU2GAN,"Unemployment by sex, age, citizenship and NUTS 2 regions","Chômage par sexe, âge, nationalité et région NUTS 2","Arbeitslosigkeit nach Geschlecht, Alter, Staatsangehörigkeit und NUTS-2-Regionen",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:LFST_R_LFU2GAN(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,LFST_R_LFU2LTU,"Long-term unemployment (12 months and more) by sex, age, educational attainment level and NUTS 2 regions (%)","Chômage de longue durée (12 mois et plus) par sexe, âge, niveau d'éducation atteint et région NUTS 2 (%)","Langzeitarbeitslose (12 Monate und länger) nach Geschlecht, Alter, Bildungsabschluss und NUTS-2-Regionen (%)",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:LFST_R_LFU2LTU(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,LFST_R_LFU3PERS,"Unemployment by sex, age, educational attainment level and NUTS 2 regions (1 000)","Chômage par sexe, âge, niveau d'éducation atteint et région NUTS 2 (1 000)","Arbeitslosigkeit nach Geschlecht, Alter, Bildungsabschluss und NUTS-2-Regionen (1 000)",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:LFST_R_LFU3PERS(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,LFST_R_LFU3RT,"Unemployment rates by sex, age, educational attainment level and NUTS 2 regions (%)","Taux de chômage par sexe, âge, niveau d'éducation atteint et région NUTS 2 (%)","Arbeitslosenquoten nach Geschlecht, Alter, Bildungsabschluss und NUTS-2-Regionen (%)",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:LFST_R_LFU3RT(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,LFST_R_LFUR2GAC,"Unemployment rates by sex, age, country of birth and NUTS 2 regions","Taux de chômage par sexe, âge, pays de naissance et région NUTS 2","Arbeitslosenquoten nach Geschlecht, Alter, Geburtsland und NUTS-2-Regionen",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:LFST_R_LFUR2GAC(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,LFST_R_LFUR2GAN,"Unemployment rates by sex, age, citizenship and NUTS 2 regions","Taux de chômage par sexe, âge, nationalité et région NUTS","Arbeitslosenquoten nach Geschlecht, Alter, Staatsangehörigkeit und NUTS-2-Regionen",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:LFST_R_LFUR2GAN(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,RD_E_FUNDGERD,GERD by source of funds,DIRD par source de financement,Bruttoausgaben für FuE nach Finanzierungsquellen,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:RD_E_FUNDGERD(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,RD_E_GERDACT,GERD by sector of performance and type of R&D,DIRD par secteur d'exécution et par type d'activités de R&D,Bruttoausgaben für FuE nach Leistungssektor und Art der FuE-Aktivität,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:RD_E_GERDACT(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,RD_E_GERDCOST,GERD by sector of performance and type of expenditure,DIRD par secteur d'exécution et type de coûts,Bruttoausgaben für FuE nach Leistungssektor und Art der Kosten,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:RD_E_GERDCOST(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,RD_E_GERDFUND,GERD by sector of performance and source of funds,DIRD par secteur d'exécution et source de financement,Bruttoausgaben für FuE nach Leistungssektor und Finanzierungsquelle,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:RD_E_GERDFUND(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,RD_E_GERDREG,GERD by sector of performance and NUTS 2 regions,DIRD par secteur d'exécution et région NUTS 2,Bruttoausgaben für FuE nach Leistungssektor und NUTS-2-Regionen,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:RD_E_GERDREG(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,RD_E_GERDSC,GERD by sector of performance and fields of R&D,DIRD par secteur d'exécution et domaine de R&D,Bruttoausgaben für FuE nach Leistungssektor und Wissenschaftsbereich,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:RD_E_GERDSC(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,RD_E_GERDSOBJ07,GERD by sector of performance and socioeconomic objectives (NABS 2007),DIRD par secteur d'exécution et objectifs socio-économiques (NABS 2007),Bruttoausgaben für FuE nach Leistungssektor und sozio-ökonomischen Zielbereichen (NABS 2007),1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:RD_E_GERDSOBJ07(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,RD_E_GERDSOBJ92,GERD by sector of performance and socioeconomic objectives (NABS 1992) (1980-2007),DIRD par secteur d'exécution et objectifs socio-économiques (NABS 1992) (1980-2007),Bruttoausgaben für FuE nach Leistungssektor und sozio-ökonomischen Zielbereichen (NABS 1992) (1980-2007),1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:RD_E_GERDSOBJ92(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,RD_E_GERDTOT,GERD by sector of performance,DIRD par secteur d'exécution,Bruttoausgaben für FuE nach Leistungssektor,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:RD_E_GERDTOT(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,TESPM050_R,Impact of social transfers (excluding pensions) on poverty reduction by sex and NUTS 2 regions,Impact des transferts sociaux (pensions exclues) sur la réduction de la pauvreté par sexe et région NUTS 2,Auswirkungen von Sozialtransfers (ausgenommen Renten und Pensionen) auf die Verringerung der Armut nach Geschlecht und NUTS-2-Regionen,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:TESPM050_R(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,TGS00010,Unemployment rate by NUTS 2 regions,"Taux de chômage, par région NUTS 2","Arbeitslosenquote, nach NUTS-2-Regionen",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:TGS00010(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,TGS00053,Long-term unemployment rate (12 months and more) by NUTS 2 regions,"Taux de chômage de longue durée (12 mois et plus), par région NUTS 2","Langzeitarbeitslosenquote (12 Monate und länger), nach NUTS-2-Regionen",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:TGS00053(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,TGS00113,Rail network by NUTS 2 regions,Réseau ferroviaire par région NUTS 2,Eisenbahnnetz auf regionaler Ebene NUTS 2,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:TGS00113(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,TGS00114,Motorways network by NUTS 2 regions,Réseaux autoroutiers par région NUTS 2,Autobahnnetze auf regionaler Ebene NUTS 2,1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:TGS00114(1.0),TRUE,FALSE,NA,NA,NA
1,1,1,ESTAT,TRAN_R_NET,"Road, rail and navigable inland waterways networks by NUTS 2 regions","Réseaux routiers, ferroviaire et voies navigables par région NUTS 2","Straßen-, Eisenbahn- und Wasserstraßennetze nach NUTS-2-Regionen",1,NA,urn:sdmx:org.sdmx.infomodel.datastructure.Dataflow=ESTAT:TRAN_R_NET(1.0),TRUE,FALSE,NA,NA,NA
