"tl3_id","tl2_id","tl1_id","iso3","name_or","name_en","name_fr","continenta","reg_name_p","EU","EEA","mapineq"
"AL011","AL01","ALB44","ALB","Dibër","Dibër","Dibër","t","Dibër",FALSE,FALSE,FALSE
"AL012","AL01","ALB44","ALB","Durrës","Durrës","Durrës","t","Durrës",FALSE,FALSE,FALSE
"AL013","AL01","ALB44","ALB","Kukës","Kukës","Kukës","t","Kukës",FALSE,FALSE,FALSE
"AL014","AL01","ALB44","ALB","Lezhë","Lezhë","Lezhë","t","Lezhë",FALSE,FALSE,FALSE
"AL015","AL01","ALB44","ALB","Shkodër","Shkodër","Shkodër","t","Shkodër",FALSE,FALSE,FALSE
"AL021","AL02","ALB44","ALB","Elbasan","Elbasan","Elbasan","t","Elbasan",FALSE,FALSE,FALSE
"AL022","AL02","ALB44","ALB","Tiranë","Tiranë","Tiranë","t","Tiranë",FALSE,FALSE,FALSE
"AL031","AL03","ALB44","ALB","Berat","Berat","Berat","t","Berat",FALSE,FALSE,FALSE
"AL032","AL03","ALB44","ALB","Fier","Fier","Fier","t","Fier",FALSE,FALSE,FALSE
"AL033","AL03","ALB44","ALB","Gjirokastër","Gjirokastër","Gjirokastër","t","Gjirokastër",FALSE,FALSE,FALSE
"AL034","AL03","ALB44","ALB","Korcë","Korcë","Korcë","t","Korcë",FALSE,FALSE,FALSE
"AL035","AL03","ALB44","ALB","Vlorë","Vlorë","Vlorë","t","Vlorë",FALSE,FALSE,FALSE
"AT111","AT11","AUT27","AUT","Mittelburgenland","Mittelburgenland","Mittelburgenland","t","Mittelburgenland",TRUE,TRUE,TRUE
"AT112","AT11","AUT27","AUT","Nordburgenland","Nordburgenland","Nordburgenland","t","Nordburgenland",TRUE,TRUE,TRUE
"AT113","AT11","AUT27","AUT","Südburgenland","Südburgenland","Südburgenland","t","Südburgenland",TRUE,TRUE,TRUE
"AT121","AT12","AUT27","AUT","Mostviertel-Eisenwurzen","Mostviertel-Eisenwurzen","Mostviertel-Eisenwurzen","t","Mostviertel-Eisenwurzen",TRUE,TRUE,TRUE
"AT122","AT12","AUT27","AUT","Niederösterreich-Süd","Niederösterreich-Süd","Niederösterreich-Süd","t","Niederösterreich-Süd",TRUE,TRUE,TRUE
"AT123","AT12","AUT27","AUT","Sankt Pölten","Sankt Pölten","Sankt Pölten","t","Sankt Pölten",TRUE,TRUE,TRUE
"AT124","AT12","AUT27","AUT","Waldviertel","Waldviertel","Waldviertel","t","Waldviertel",TRUE,TRUE,TRUE
"AT125","AT12","AUT27","AUT","Weinviertel","Weinviertel","Weinviertel","t","Weinviertel",TRUE,TRUE,TRUE
"AT126","AT12","AUT27","AUT","Wiener Umland/Nordteil","Wiener Umland/Nordteil","Wiener Umland/Nordteil","t","Wiener Umland/Nordteil",TRUE,TRUE,TRUE
"AT127","AT12","AUT27","AUT","Wiener Umland/Südteil","Wiener Umland/Südteil","Wiener Umland/Südteil","t","Wiener Umland/Südteil",TRUE,TRUE,TRUE
"AT130","AT13","AUT27","AUT","Wien","Vienna","Vienne","t","Vienna",TRUE,TRUE,TRUE
"AT211","AT21","AUT27","AUT","Klagenfurt-Villach","Klagenfurt-Villach","Klagenfurt-Villach","t","Klagenfurt-Villach",TRUE,TRUE,TRUE
"AT212","AT21","AUT27","AUT","Oberkärnten","Oberkärnten","Oberkärnten","t","Oberkärnten",TRUE,TRUE,TRUE
"AT213","AT21","AUT27","AUT","Unterkärnten","Unterkärnten","Unterkärnten","t","Unterkärnten",TRUE,TRUE,TRUE
"AT221","AT22","AUT27","AUT","Graz","Graz","Graz","t","Graz",TRUE,TRUE,TRUE
"AT222","AT22","AUT27","AUT","Liezen","Liezen","Liezen","t","Liezen",TRUE,TRUE,TRUE
"AT223","AT22","AUT27","AUT","Östliche Obersteiermark","Östliche Obersteiermark","Östliche Obersteiermark","t","Östliche Obersteiermark",TRUE,TRUE,TRUE
"AT224","AT22","AUT27","AUT","Oststeiermark","Oststeiermark","Oststeiermark","t","Oststeiermark",TRUE,TRUE,TRUE
"AT225","AT22","AUT27","AUT","West- und Südsteiermark","West- und Südsteiermark","West- und Südsteiermark","t","West- und Südsteiermark",TRUE,TRUE,TRUE
"AT226","AT22","AUT27","AUT","Westliche Obersteiermark","Westliche Obersteiermark","Westliche Obersteiermark","t","Westliche Obersteiermark",TRUE,TRUE,TRUE
"AT311","AT31","AUT27","AUT","Innviertel","Innviertel","Innviertel","t","Innviertel",TRUE,TRUE,TRUE
"AT312","AT31","AUT27","AUT","Linz-Wels","Linz-Wels","Linz-Wels","t","Linz-Wels",TRUE,TRUE,TRUE
"AT313","AT31","AUT27","AUT","Mühlviertel","Mühlviertel","Mühlviertel","t","Mühlviertel",TRUE,TRUE,TRUE
"AT314","AT31","AUT27","AUT","Steyr-Kirchdorf","Steyr-Kirchdorf","Steyr-Kirchdorf","t","Steyr-Kirchdorf",TRUE,TRUE,TRUE
"AT315","AT31","AUT27","AUT","Traunviertel","Traunviertel","Traunviertel","t","Traunviertel",TRUE,TRUE,TRUE
"AT321","AT32","AUT27","AUT","Lungau","Lungau","Lungau","t","Lungau",TRUE,TRUE,TRUE
"AT322","AT32","AUT27","AUT","Pinzgau-Pongau","Pinzgau-Pongau","Pinzgau-Pongau","t","Pinzgau-Pongau",TRUE,TRUE,TRUE
"AT323","AT32","AUT27","AUT","Salzburg und Umgebung","Salzburg und Umgebung","Salzburg und Umgebung","t","Salzburg und Umgebung",TRUE,TRUE,TRUE
"AT331","AT33","AUT27","AUT","Außerfern","Außerfern","Außerfern","t","Außerfern",TRUE,TRUE,TRUE
"AT332","AT33","AUT27","AUT","Innsbruck","Innsbruck","Innsbruck","t","Innsbruck",TRUE,TRUE,TRUE
"AT333","AT33","AUT27","AUT","Osttirol","Osttirol","Osttirol","t","Osttirol",TRUE,TRUE,TRUE
"AT334","AT33","AUT27","AUT","Tiroler Oberland","Tiroler Oberland","Tyrolean Oberland","t","Tiroler Oberland",TRUE,TRUE,TRUE
"AT335","AT33","AUT27","AUT","Tiroler Unterland","Tiroler Unterland","Tyrolean Unterland","t","Tiroler Unterland",TRUE,TRUE,TRUE
"AT341","AT34","AUT27","AUT","Bludenz-Bregenzer Wald","Bludenz-Bregenzer Wald","Bludenz-Bregenzer Wald","t","Bludenz-Bregenzer Wald",TRUE,TRUE,TRUE
"AT342","AT34","AUT27","AUT","Rheintal-Bodenseegebiet","Rheintal-Bodenseegebiet","Rheintal-Bodenseegebiet","t","Rheintal-Bodenseegebiet",TRUE,TRUE,TRUE
"AU101","AU1","AUS223","AUS","Capital Region","Capital Region","Capital Region","t","Capital Region",FALSE,FALSE,FALSE
"AU103","AU1","AUS223","AUS","Central West","Central West","Central West","t","Central West",FALSE,FALSE,FALSE
"AU104","AU1","AUS223","AUS","Coffs Harbour - Grafton","Coffs Harbour - Grafton","Coffs Harbour - Grafton","t","Coffs Harbour - Grafton",FALSE,FALSE,FALSE
"AU105","AU1","AUS223","AUS","Far West and Orana","Far West and Orana","Far West and Orana","t","Far West and Orana",FALSE,FALSE,FALSE
"AU106","AU1","AUS223","AUS","Hunter Valley Exc Newcastle","Hunter Valley Exc Newcastle","Hunter Valley Exc Newcastle","t","Hunter Valley Exc Newcastle",FALSE,FALSE,FALSE
"AU107","AU1","AUS223","AUS","Illawarra","Illawarra","Illawarra","t","Illawarra",FALSE,FALSE,FALSE
"AU108","AU1","AUS223","AUS","Mid North Coast","Mid North Coast","Mid North Coast","t","Mid North Coast",FALSE,FALSE,FALSE
"AU109","AU1","AUS223","AUS","Murray","Murray","Murray","t","Murray",FALSE,FALSE,FALSE
"AU110","AU1","AUS223","AUS","New England and North West","New England and North West","New England and North West","t","New England and North West",FALSE,FALSE,FALSE
"AU111","AU1","AUS223","AUS","Newcastle and Lake Macquarie","Newcastle and Lake Macquarie","Newcastle and Lake Macquarie","t","Newcastle and Lake Macquarie",FALSE,FALSE,FALSE
"AU112","AU1","AUS223","AUS","Richmond - Tweed","Richmond - Tweed","Richmond - Tweed","t","Richmond - Tweed",FALSE,FALSE,FALSE
"AU113","AU1","AUS223","AUS","Riverina","Riverina","Riverina","t","Riverina",FALSE,FALSE,FALSE
"AU114","AU1","AUS223","AUS","Southern Highlands and Shoalhaven","Southern Highlands and Shoalhaven","Southern Highlands and Shoalhaven","t","Southern Highlands and Shoalhaven",FALSE,FALSE,FALSE
"AU1GS","AU1","AUS223","AUS","Sydney","Sydney","Sydney","t","Sydney",FALSE,FALSE,FALSE
"AU201","AU2","AUS223","AUS","Ballarat","Ballarat","Ballarat","t","Ballarat",FALSE,FALSE,FALSE
"AU202","AU2","AUS223","AUS","Bendigo","Bendigo","Bendigo","t","Bendigo",FALSE,FALSE,FALSE
"AU203","AU2","AUS223","AUS","Geelong","Geelong","Geelong","t","Geelong",FALSE,FALSE,FALSE
"AU204","AU2","AUS223","AUS","Hume","Hume","Hume","t","Hume",FALSE,FALSE,FALSE
"AU205","AU2","AUS223","AUS","Latrobe - Gippsland","Latrobe - Gippsland","Latrobe - Gippsland","t","Latrobe - Gippsland",FALSE,FALSE,FALSE
"AU215","AU2","AUS223","AUS","North West","North West","North West","t","North West",FALSE,FALSE,FALSE
"AU216","AU2","AUS223","AUS","Shepparton","Shepparton","Shepparton","t","Shepparton",FALSE,FALSE,FALSE
"AU217","AU2","AUS223","AUS","Warrnambool and South West","Warrnambool and South West","Warrnambool and South West","t","Warrnambool and South West",FALSE,FALSE,FALSE
"AU2GM","AU2","AUS223","AUS","Melbourne","Melbourne","Melbourne","t","Melbourne",FALSE,FALSE,FALSE
"AU306","AU3","AUS223","AUS","Cairns","Cairns","Cairns","t","Cairns",FALSE,FALSE,FALSE
"AU307","AU3","AUS223","AUS","Darling Downs - Maranoa","Darling Downs - Maranoa","Darling Downs - Maranoa","t","Darling Downs - Maranoa",FALSE,FALSE,FALSE
"AU308","AU3","AUS223","AUS","Fitzroy","Fitzroy","Fitzroy","t","Fitzroy",FALSE,FALSE,FALSE
"AU309","AU3","AUS223","AUS","Gold Coast","Gold Coast","Gold Coast","t","Gold Coast",FALSE,FALSE,FALSE
"AU312","AU3","AUS223","AUS","Mackay","Mackay","Mackay","t","Mackay",FALSE,FALSE,FALSE
"AU315","AU3","AUS223","AUS","Queensland - Outback","Queensland - Outback","Queensland - Outback","t","Queensland - Outback",FALSE,FALSE,FALSE
