event_time,coef,se,term,ci_low,ci_high
-12,0.48263647819438393,0.11816179359693704,et_m12,0.2510393627443873,0.7142335936443805
-11,-0.2246540405384534,0.07233058701517307,et_m11,-0.3664219910881926,-0.08288608998871416
-10,-0.26958187064523376,0.0871832357107227,et_m10,-0.4404610126382502,-0.09870272865221727
-9,-0.2912859480625809,0.09361250138030544,et_m9,-0.4747664507679796,-0.10780544535718223
-8,0.0005565710281338898,0.09059060707027279,et_m8,-0.1770010188296008,0.17811416088586857
-7,0.15865776566500012,0.08766396016321591,et_m7,-0.01316359625490307,0.3304791275849033
-6,0.19233060367597887,0.06484790561389402,et_m6,0.0652287086727466,0.31943249867921114
-5,0.1970834225740774,0.03685225979637127,et_m5,0.12485299337318971,0.2693138517749651
-4,0.16819719862219396,0.0228417640248273,et_m4,0.12342734113353244,0.21296705611085548
-3,0.10979876576863545,0.032853749122724644,et_m3,0.04540541748809515,0.17419211404917576
-2,0.24103586311677638,0.033100751104183576,et_m2,0.17615839095257657,0.3059133352809762
0,0.10644562082555975,0.03857850485712279,et_0,0.03083175130559908,0.18205949034552044
1,0.2572046289956158,0.032356029546477594,et_p1,0.19378681108451973,0.3206224469067119
2,0.2592609862519559,0.03700283302428244,et_p2,0.18673543352436234,0.3317865389795495
3,0.41057529290812234,0.04760121460176604,et_p3,0.3172769122886609,0.5038736735275837
4,0.45450158242968186,0.04252627443199864,et_p4,0.3711500845429645,0.5378530803163992
5,0.6512024059330801,0.057823444117287605,et_p5,0.5378684554631964,0.7645363564029638
6,0.5365483418542629,0.05618524790949172,et_p6,0.42642525595165914,0.6466714277568667
7,0.37610009972544445,0.06534347275344585,et_p7,0.24802689312869058,0.5041733063221983
8,0.2278624181312865,0.07394034341521492,et_p8,0.08293934503746525,0.37278549122510773
9,0.35376490988480214,0.0777967176712436,et_p9,0.20128334324916466,0.5062464765204396
10,0.37364542768026565,0.05872414704443986,et_p10,0.25854609947316354,0.48874475588736777
11,0.3845689832713959,0.05682472012672722,et_p11,0.2731925318230105,0.49594543471978125
12,0.9551264796801499,0.11477396027000632,et_p12,0.7301695175509375,1.1800834418093622
