date,treated,synthetic,on_model_scale_treated,on_model_scale_synth,is_pre,is_post
2019-01-01,520.0,616.8971540219369,520,616.8971540219369,1,0
2019-02-01,671.0,653.3314843413349,671,653.3314843413349,1,0
2019-03-01,938.0,904.111214445348,938,904.111214445348,1,0
2019-04-01,667.0,719.7211139070611,667,719.7211139070611,1,0
2019-05-01,684.0,727.7019444133982,684,727.7019444133982,1,0
2019-06-01,928.0,872.5055113887537,928,872.5055113887537,1,0
2019-07-01,974.0,1042.398624881875,974,1042.398624881875,1,0
2019-08-01,1111.0,1081.2661000943772,1111,1081.2661000943772,1,0
2019-09-01,701.0,725.0249710022607,701,725.0249710022607,1,0
2019-10-01,664.0,697.7567644760778,664,697.7567644760778,1,0
2019-11-01,714.0,756.9012698260854,714,756.9012698260854,1,0
2019-12-01,959.0,1052.3132531628012,959,1052.3132531628012,1,0
2020-01-01,901.0,828.2373457348997,901,828.2373457348997,1,0
2020-02-01,1159.0,1150.836812853453,1159,1150.836812853453,1,0
2020-03-01,1093.0,1004.1487603708676,1093,1004.1487603708676,1,0
2020-04-01,329.0,374.7572476573964,329,374.7572476573964,1,0
2020-05-01,281.0,271.64848544545424,281,271.64848544545424,1,0
2020-06-01,177.0,218.99707221144482,177,218.99707221144482,1,0
2020-07-01,140.0,179.74063181794344,140,179.74063181794344,1,0
2020-08-01,258.0,292.6130210911036,258,292.6130210911036,1,0
2020-09-01,386.0,398.165869995399,386,398.165869995399,1,0
2020-10-01,577.0,545.6564376146493,577,545.6564376146493,1,0
2020-11-01,852.0,801.0069448129442,852,801.0069448129442,1,0
2020-12-01,938.0,906.5337409603173,938,906.5337409603173,1,0
2021-01-01,906.0,784.5633927740256,906,784.5633927740256,0,1
2021-02-01,1361.0,846.9889108665967,1361,846.9889108665967,0,1
2021-03-01,1680.0,840.8517611695183,1680,840.8517611695183,0,1
2021-04-01,872.0,528.072751769999,872,528.072751769999,0,1
2021-05-01,1565.0,639.8514417568327,1565,639.8514417568327,0,1
2021-06-01,1908.0,628.361471150475,1908,628.361471150475,0,1
2021-07-01,3240.0,780.9777581332232,3240,780.9777581332232,0,1
2021-08-01,3814.0,996.5535812205005,3814,996.5535812205005,0,1
2021-09-01,8111.0,1624.4037350622261,8111,1624.4037350622261,0,1
2021-10-01,6029.0,1323.4288784029497,6029,1323.4288784029497,0,1
2021-11-01,3946.0,1021.9463721406762,3946,1021.9463721406762,0,1
2021-12-01,2772.0,678.2205122093516,2772,678.2205122093516,0,1
2022-01-01,4071.0,915.9208694436062,4071,915.9208694436062,0,1
2022-02-01,3265.0,886.7741706580457,3265,886.7741706580457,0,1
2022-03-01,3329.0,942.1777903238003,3329,942.1777903238003,0,1
2022-04-01,3116.0,1017.3858493952349,3116,1017.3858493952349,0,1
2022-05-01,3166.0,1044.696759028278,3166,1044.696759028278,0,1
2022-06-01,2715.0,829.5235291030161,2715,829.5235291030161,0,1
2022-07-01,2819.0,838.1237119595352,2819,838.1237119595352,0,1
2022-08-01,3578.0,1252.1539847335553,3578,1252.1539847335553,0,1
2022-09-01,4325.0,1368.9613028381418,4325,1368.9613028381418,0,1
2022-10-01,5684.0,1576.8411133329314,5684,1576.8411133329314,0,1
2022-11-01,3640.0,865.5804790241232,3640,865.5804790241232,0,1
2022-12-01,5488.0,1192.2381880601686,5488,1192.2381880601686,0,1
