date,treated_levels,synthetic_levels,is_pre,is_post
2019-01-01,520.0,613.9058497743948,1,0
2019-02-01,671.0,814.9509557825339,1,0
2019-03-01,938.0,871.3337421373767,1,0
2019-04-01,667.0,708.3381689840772,1,0
2019-05-01,684.0,678.3133584791779,1,0
2019-06-01,928.0,756.6794106534426,1,0
2019-07-01,974.0,710.8438539943317,1,0
2019-08-01,1111.0,738.2250017979183,1,0
2019-09-01,701.0,742.3045857261354,1,0
2019-10-01,664.0,754.2052081158013,1,0
2019-11-01,714.0,856.7604583134349,1,0
2019-12-01,959.0,1163.4590838889005,1,0
2020-01-01,901.0,833.7184516087484,1,0
2020-02-01,1159.0,1251.8671972551886,1,0
2020-03-01,1093.0,1005.0539479454235,1,0
2020-04-01,329.0,382.5644848872954,1,0
2020-05-01,281.0,287.4869935007425,1,0
2020-06-01,177.0,207.97685128621316,1,0
2020-07-01,140.0,173.9975571293537,1,0
2020-08-01,258.0,262.80422926468464,1,0
2020-09-01,386.0,319.73413887863995,1,0
2020-10-01,577.0,513.9023295695523,1,0
2020-11-01,852.0,758.2278976802223,1,0
2020-12-01,938.0,893.7981751357754,1,0
2021-01-01,906.0,835.2183692610391,0,1
2021-02-01,1361.0,801.3560669110161,0,1
2021-03-01,1680.0,724.0355038547235,0,1
2021-04-01,872.0,389.651995439316,0,1
2021-05-01,1565.0,379.561149742264,0,1
2021-06-01,1908.0,317.5095482438981,0,1
2021-07-01,3240.0,365.9790411696191,0,1
2021-08-01,3814.0,452.1717008549212,0,1
2021-09-01,8111.0,681.1206396876643,0,1
2021-10-01,6029.0,647.0470928716445,0,1
2021-11-01,3946.0,612.2611119788198,0,1
2021-12-01,2772.0,430.8094375330189,0,1
2022-01-01,4071.0,628.1638514613891,0,1
2022-02-01,3265.0,573.3447380741231,0,1
2022-03-01,3329.0,664.2688119999746,0,1
2022-04-01,3116.0,765.2362323627669,0,1
2022-05-01,3166.0,757.5012782925252,0,1
2022-06-01,2715.0,501.062944024217,0,1
2022-07-01,2819.0,529.2084748990696,0,1
2022-08-01,3578.0,563.5712161642588,0,1
2022-09-01,4325.0,464.8653994294682,0,1
2022-10-01,5684.0,853.111440727578,0,1
2022-11-01,3640.0,595.1915218617565,0,1
2022-12-01,5488.0,948.1602435770769,0,1
