donor,weight,group
CL->CA,0.20463729375969636,origin
CL->PE,0.2035206846634048,origin
BD->US,0.19861372212417158,destination
JM->US,0.13927377007776245,destination
CL->VE,0.1092192941112392,origin
TW->US,0.09490183499997673,destination
CL->EC,0.049833400263748946,origin
CL->AR,1.0480705302339573e-22,origin
CL->BO,8.026068171445675e-23,origin
NP->US,0.0,destination
PK->US,0.0,destination
TH->US,0.0,destination
TR->US,0.0,destination
ES->US,0.0,destination
CL->BR,0.0,origin
NG->US,0.0,destination
CL->ES,0.0,origin
CL->MX,0.0,origin
IT->US,0.0,destination
