donor,weight,group
CL->CO,0.2328186523553497,origin
TW->US,0.2293331448162023,destination
CL->CA,0.19470229922380308,origin
BD->US,0.12352996109414668,destination
CL->PE,0.09721640471844886,origin
CL->VE,0.062282172942452294,origin
JM->US,0.04713689408965103,destination
CL->AR,0.012980470759946029,origin
CL->ES,2.3858259051461488e-22,origin
TH->US,9.72108790145123e-23,destination
PK->US,0.0,destination
TR->US,0.0,destination
NP->US,0.0,destination
ES->US,0.0,destination
CL->BO,0.0,origin
CL->BR,0.0,origin
NG->US,0.0,destination
CL->EC,0.0,origin
CL->MX,0.0,origin
IT->US,0.0,destination
