donor,weight,group
CL->CA,0.1896864960136455,origin
CL->CO,0.17749215228702134,origin
NP->US,0.15081213787099923,destination
TW->US,0.09832698588764001,destination
CL->EC,0.09771483518459219,origin
TH->US,0.09672394850395924,destination
CL->AR,0.0724545706790782,origin
CL->MX,0.06265194565919231,origin
BD->US,0.05413692789253192,destination
CL->VE,1.934506498043712e-11,origin
TR->US,1.994914757306294e-12,destination
ES->US,0.0,destination
CL->BO,0.0,origin
CL->BR,0.0,origin
PK->US,0.0,destination
NG->US,0.0,destination
JM->US,0.0,destination
CL->ES,0.0,origin
IT->US,0.0,destination
CL->PE,0.0,origin
