date,BA->DE,BG->DE,ES->DE,GR->DE,IN->DE,IT->DE,PL->DE,RO->DE,RS->DE,TR->AF,TR->DE,TR->FR,TR->GB,TR->GR,TR->IQ,TR->NL,TR->PK,TR->SY,TR->US,TR->UZ,US->DE
2019-01-01,1823,1789,1613,1603,1758,3586,3747,3935,1447,1279,2574,795,909,633,2178,754,772,7721,1034,518,2791
2019-02-01,1841,1770,1453,1602,2121,3800,3386,4277,1480,1439,2769,906,1108,652,2570,697,924,7998,929,750,2930
2019-03-01,1933,1619,1227,1449,3138,3580,3094,4343,1411,1504,3140,1024,1139,836,2949,978,865,8078,1066,787,3350
2019-04-01,1844,1779,1395,1736,2620,4154,4360,4559,1347,1947,3077,898,919,662,2555,701,773,8379,803,807,3077
2019-05-01,1723,1615,1206,1464,2140,3252,3417,4440,1324,1826,2627,947,724,876,2511,527,754,14670,941,898,3402
2019-06-01,1763,1738,1177,1628,1916,3063,3723,4685,1332,1480,2757,992,1007,1030,3332,704,599,10872,1472,943,4595
2019-07-01,1843,1974,1429,1883,1908,3473,3923,5957,1470,2340,3545,1177,1190,1565,3375,953,840,11019,1533,1049,5259
2019-08-01,2391,2211,1382,1907,2531,3219,3486,5479,1617,2625,3442,1327,1095,2181,3269,1093,1124,11258,1621,1141,5964
2019-09-01,2257,2342,1582,2093,5123,3305,3364,5518,1507,2740,4175,1531,1545,2969,2486,1063,1252,8145,1390,1133,4579
2019-10-01,1970,2244,1444,2205,4883,3336,3038,4977,1538,4271,3689,1289,1307,2784,3519,979,1672,6427,948,1343,3394
2019-11-01,1514,1725,1176,1986,2243,2590,2162,3946,1180,4246,2833,1163,1022,2730,3994,776,1460,5114,843,1216,2717
2019-12-01,1564,1622,1264,2054,1676,2566,2322,3317,1105,3194,2751,957,1005,1879,3107,826,1273,4656,971,1152,2896
2020-01-01,2183,1936,1241,1644,1780,2512,2786,4581,1593,2392,2853,810,986,1651,3166,725,942,3533,883,827,2567
2020-02-01,2360,2261,1656,2080,2789,3586,3783,5566,1934,2613,3680,1080,1419,1424,4440,966,1527,3324,1022,935,3041
2020-03-01,2092,2120,1811,1751,1834,2731,4200,6179,1719,1645,2633,832,1162,1068,2569,610,594,3127,869,792,2840
2020-04-01,659,914,675,580,486,1121,2195,2560,465,1339,1323,368,394,701,1558,255,379,1981,281,316,1425
2020-05-01,492,616,601,384,291,783,1544,1833,449,981,1020,231,257,486,1289,177,343,1495,283,163,1226
2020-06-01,397,607,469,329,225,509,963,1210,446,565,935,282,278,382,1183,256,265,1175,333,109,1085
2020-07-01,336,583,462,444,186,458,929,1127,474,515,692,180,244,304,958,242,258,940,288,74,1004
2020-08-01,585,1597,819,996,334,1016,1444,3057,952,686,1393,336,640,597,1635,502,356,945,517,151,1803
2020-09-01,1438,2508,1504,1803,805,1818,2541,4295,1269,939,2032,567,1185,1004,2665,820,532,1264,684,337,3610
2020-10-01,1767,3007,2128,3036,1354,2811,3558,5683,1559,1760,2558,877,1748,1285,3832,901,758,2056,660,886,3935
2020-11-01,1807,2957,2186,3359,2378,3470,4329,6830,1487,1379,3421,862,1992,1272,2984,893,602,1524,811,965,4087
2020-12-01,1096,2399,1703,2781,2026,2722,2301,4596,1108,1393,3315,923,1563,1337,4242,920,820,1844,697,1168,2482
2021-01-01,723,1563,1208,1974,1517,1877,1932,2993,784,1218,1965,583,1018,521,3178,511,816,2351,509,1134,2246
2021-02-01,1244,1920,1292,1865,2064,1782,2270,4031,1132,1556,2360,657,1150,430,3411,719,741,1498,693,1245,2543
2021-03-01,1224,1609,1131,2394,2681,1557,1962,3581,1061,1117,2320,580,982,260,2778,785,681,1570,738,1146,2658
2021-04-01,751,839,690,1605,1248,945,1398,1945,655,1409,1270,388,576,122,1842,414,707,1601,462,710,1400
2021-05-01,1085,1265,911,2860,2077,1303,1736,3340,890,1268,1809,507,1055,243,2205,695,657,2024,687,937,2161
2021-06-01,1068,1080,895,2900,1970,1190,1545,2776,820,991,1495,475,859,195,1607,581,367,1835,556,863,2372
2021-07-01,1172,1705,1058,3670,1348,1445,2447,4477,1288,1407,2105,618,989,232,2340,704,704,2167,843,1048,2658
2021-08-01,1128,1538,1071,2702,1095,1435,2120,3108,1257,1252,2236,772,853,267,1501,797,896,2886,1266,1122,2695
2021-09-01,1573,2207,1553,3738,1362,2016,2358,4625,1565,1086,3029,1204,1190,325,2741,1177,1183,4486,2157,939,2804
2021-10-01,1642,2490,1422,3785,2715,2136,2969,5064,1601,947,3789,1486,1296,364,2335,1472,853,3902,1896,1015,2856
