treated_levels,synthetic_levels
2574.0,2464.8771631891386
2769.0,2705.5838490237225
3140.0,3090.9330165915794
3077.0,2908.930974153174
2627.0,2900.58053478779
2757.0,3076.647050847107
3545.0,3512.2553288307713
3442.0,3541.3636758604125
4175.0,4041.7551224079166
3689.0,3784.887322074834
2833.0,2731.10954324549
2751.0,2279.5379025285447
2853.0,2681.0935711964166
3680.0,3472.2722464161993
2633.0,3127.3267434402346
1323.0,1278.385441151853
1020.0,944.0402777422906
935.0,715.3870799308403
692.0,632.5954120597372
1393.0,1445.459415022876
2032.0,2158.1687014681906
2558.0,2920.773184311412
3421.0,3493.2035713279674
3315.0,2808.919996998967
1965.0,1974.8811661716256
2360.0,2520.7629971551455
2320.0,2475.526471190243
1270.0,1361.2450109858376
1809.0,2154.6826311307677
1495.0,1828.3483834518838
2105.0,2383.8801326730145
2236.0,1882.7988242954928
3029.0,2865.8333992799653
3789.0,3250.4338418684843
4548.0,3634.8877251830677
