date,treated_levels,synthetic_levels,is_pre,is_post,left_out_donor
2019-01-01,2574.000000000001,2782.3249526609575,1,0,RO->DE
2019-02-01,2769.000000000001,2885.8499334789662,1,0,RO->DE
2019-03-01,3140.0000000000014,2960.1460951845766,1,0,RO->DE
2019-04-01,3076.999999999998,3176.8492237304145,1,0,RO->DE
2019-05-01,2626.999999999999,3073.2733704386824,1,0,RO->DE
2019-06-01,2757.0000000000005,3322.326502637706,1,0,RO->DE
2019-07-01,3544.9999999999995,3509.8293484063465,1,0,RO->DE
2019-08-01,3442.0000000000027,3528.7698599743244,1,0,RO->DE
2019-09-01,4174.999999999999,3309.924952370103,1,0,RO->DE
2019-10-01,3688.9999999999973,3377.0176289678298,1,0,RO->DE
2019-11-01,2833.000000000001,2778.5277961730235,1,0,RO->DE
2019-12-01,2751.0,2553.1490669392615,1,0,RO->DE
2020-01-01,2853.0000000000005,2586.7231258630627,1,0,RO->DE
2020-02-01,3680.0000000000005,3299.29200776998,1,0,RO->DE
2020-03-01,2632.999999999999,2739.1677472582237,1,0,RO->DE
2020-04-01,1323.0000000000002,1347.3196279084166,1,0,RO->DE
2020-05-01,1019.9999999999998,981.2981862234786,1,0,RO->DE
2020-06-01,934.9999999999995,789.2014874197718,1,0,RO->DE
2020-07-01,692.0,725.2780319717175,1,0,RO->DE
2020-08-01,1393.0000000000005,1237.8891643386594,1,0,RO->DE
2020-09-01,2032.0000000000007,2088.9338129009057,1,0,RO->DE
2020-10-01,2557.999999999999,3023.179358871353,1,0,RO->DE
2020-11-01,3421.0,3008.5914360448983,1,0,RO->DE
2020-12-01,3314.999999999998,2672.926016628927,1,0,RO->DE
2021-01-01,1965.0,2177.6444276807465,1,0,RO->DE
2021-02-01,2360.0000000000005,2279.0123565366016,1,0,RO->DE
2021-03-01,2320.0000000000005,2146.742164361537,1,0,RO->DE
2021-04-01,1270.0000000000002,1443.0939445437534,1,0,RO->DE
2021-05-01,1808.9999999999993,1952.7137073128117,1,0,RO->DE
2021-06-01,1494.9999999999993,1686.809322277956,1,0,RO->DE
2021-07-01,2105.0,2275.625621563195,1,0,RO->DE
2021-08-01,2236.000000000001,1908.2800522859802,1,0,RO->DE
2021-09-01,3028.9999999999995,2695.988469306073,1,0,RO->DE
2021-10-01,3789.0000000000005,2880.8853625139386,1,0,RO->DE
2021-11-01,4547.999999999996,2942.773088439251,1,0,RO->DE
2021-12-01,3614.000000000001,2055.2546640095643,0,1,RO->DE
2022-01-01,4616.000000000002,2361.2985948347455,0,1,RO->DE
2022-02-01,3541.0000000000014,2385.9263663790102,0,1,RO->DE
2022-03-01,4164.000000000002,2385.32802228702,0,1,RO->DE
2022-04-01,3846.9999999999973,2581.2341240721057,0,1,RO->DE
2022-05-01,5891.999999999997,3285.007886031689,0,1,RO->DE
2022-06-01,4830.999999999997,2855.4192053263523,0,1,RO->DE
2022-07-01,5631.999999999995,2666.7122052264717,0,1,RO->DE
2022-08-01,7172.0000000000055,2942.5659439197416,0,1,RO->DE
2022-09-01,9262.000000000007,2857.267508143936,0,1,RO->DE
2022-10-01,13944.000000000002,3819.0756938275695,0,1,RO->DE
2022-11-01,16003.00000000001,3248.2488141970884,0,1,RO->DE
2022-12-01,15745.99999999999,3539.5128550348286,0,1,RO->DE
