date,treated,synthetic,on_model_scale_treated,on_model_scale_synth,is_pre,is_post
2019-01-01,2574.0,2464.877163189562,2574,2464.877163189562,1,0
2019-02-01,2769.0,2705.583849024165,2769,2705.583849024165,1,0
2019-03-01,3140.0,3090.9330165920396,3140,3090.9330165920396,1,0
2019-04-01,3077.0,2908.930974153648,3077,2908.930974153648,1,0
2019-05-01,2627.0,2900.5805347884643,2627,2900.5805347884643,1,0
2019-06-01,2757.0,3076.6470508477587,2757,3076.6470508477587,1,0
2019-07-01,3545.0,3512.2553288314584,3545,3512.2553288314584,1,0
2019-08-01,3442.0,3541.3636758610646,3442,3541.3636758610646,1,0
2019-09-01,4175.0,4041.75512240818,4175,4041.75512240818,1,0
2019-10-01,3689.0,3784.887322075236,3689,3784.887322075236,1,0
2019-11-01,2833.0,2731.109543246045,2833,2731.109543246045,1,0
2019-12-01,2751.0,2279.5379025289776,2751,2279.5379025289776,1,0
2020-01-01,2853.0,2681.093571196872,2853,2681.093571196872,1,0
2020-02-01,3680.0,3472.272246416744,3680,3472.272246416744,1,0
2020-03-01,2633.0,3127.3267434406134,2633,3127.3267434406134,1,0
2020-04-01,1323.0,1278.385441152126,1323,1278.385441152126,1,0
2020-05-01,1020.0,944.0402777425171,1020,944.0402777425171,1,0
2020-06-01,935.0,715.3870799310228,935,715.3870799310228,1,0
2020-07-01,692.0,632.5954120598902,692,632.5954120598902,1,0
2020-08-01,1393.0,1445.4594150231267,1393,1445.4594150231267,1,0
2020-09-01,2032.0,2158.1687014685344,2032,2158.1687014685344,1,0
2020-10-01,2558.0,2920.7731843118645,2558,2920.7731843118645,1,0
2020-11-01,3421.0,3493.203571328239,3421,3493.203571328239,1,0
2020-12-01,3315.0,2808.9199969994297,3315,2808.9199969994297,1,0
2021-01-01,1965.0,1974.8811661719997,1965,1974.8811661719997,1,0
2021-02-01,2360.0,2520.762997155526,2360,2520.762997155526,1,0
2021-03-01,2320.0,2475.5264711905284,2320,2475.5264711905284,1,0
2021-04-01,1270.0,1361.2450109860565,1270,1361.2450109860565,1,0
2021-05-01,1809.0,2154.6826311309896,1809,2154.6826311309896,1,0
2021-06-01,1495.0,1828.3483834520332,1495,1828.3483834520332,1,0
2021-07-01,2105.0,2383.8801326733396,2105,2383.8801326733396,1,0
2021-08-01,2236.0,1882.7988242956965,2236,1882.7988242956965,1,0
2021-09-01,3029.0,2865.83339928036,3029,2865.83339928036,1,0
2021-10-01,3789.0,3250.4338418687626,3789,3250.4338418687626,1,0
2021-11-01,4548.0,3634.8877251832296,4548,3634.8877251832296,1,0
2021-12-01,3614.0,2340.3543324295797,3614,2340.3543324295797,0,1
2022-01-01,4616.0,2921.9861917622416,4616,2921.9861917622416,0,1
2022-02-01,3541.0,3011.535893501058,3541,3011.535893501058,0,1
2022-03-01,4164.0,2946.087040382813,4164,2946.087040382813,0,1
2022-04-01,3847.0,3334.728595638499,3847,3334.728595638499,0,1
2022-05-01,5892.0,3949.1216575465446,5892,3949.1216575465446,0,1
2022-06-01,4831.0,3457.355636804974,4831,3457.355636804974,0,1
2022-07-01,5632.0,3259.7129021593364,5632,3259.7129021593364,0,1
2022-08-01,7172.0,3349.7861031836246,7172,3349.7861031836246,0,1
2022-09-01,9262.0,3199.1679195483816,9262,3199.1679195483816,0,1
2022-10-01,13944.0,4454.018698602179,13944,4454.018698602179,0,1
2022-11-01,16003.0,3385.5044186614214,16003,3385.5044186614214,0,1
2022-12-01,15746.0,4461.771798798412,15746,4461.771798798412,0,1
