donor,weight,group
TR->IQ,0.33958229547291274,origin
IN->DE,0.2519561829783306,destination
PL->DE,0.1829000266335235,destination
GR->DE,0.16513513320129591,destination
TR->SY,0.0604262934609431,origin
US->DE,6.825299401897301e-08,destination
BA->DE,0.0,destination
TR->GR,0.0,origin
TR->US,0.0,origin
TR->PK,0.0,origin
TR->NL,0.0,origin
TR->AF,0.0,origin
TR->GB,0.0,origin
TR->FR,0.0,origin
BG->DE,0.0,destination
RS->DE,0.0,destination
IT->DE,0.0,destination
ES->DE,0.0,destination
TR->UZ,0.0,origin
