donor,weight,group
RO->DE,0.5393341280479669,destination
TR->FR,0.171705389160906,origin
TR->IQ,0.10459615592538525,origin
TR->SY,0.06687108299573244,origin
IN->DE,0.060665871952033074,destination
TR->NL,0.05682737191797645,origin
TR->GB,2.1868592058917496e-21,origin
GR->DE,5.4302350706480915e-22,destination
TR->UZ,1.8185925027594169e-22,origin
TR->US,0.0,origin
TR->PK,0.0,origin
TR->GR,0.0,origin
BA->DE,0.0,destination
BG->DE,0.0,destination
US->DE,0.0,destination
RS->DE,0.0,destination
PL->DE,0.0,destination
IT->DE,0.0,destination
ES->DE,0.0,destination
TR->AF,0.0,origin
