donor,weight,group
RO->DE,0.3253849274404439,destination
IN->DE,0.27462201296395333,destination
TR->US,0.25075395678148604,origin
TR->IQ,0.12806270595644365,origin
TR->SY,0.021176229872117557,origin
TR->GB,6.837679481398769e-08,origin
TR->FR,6.553754631744423e-08,origin
TR->NL,3.30712144082015e-08,origin
BA->DE,0.0,destination
TR->PK,0.0,origin
TR->GR,0.0,origin
TR->AF,0.0,origin
BG->DE,0.0,destination
US->DE,0.0,destination
RS->DE,0.0,destination
PL->DE,0.0,destination
IT->DE,0.0,destination
GR->DE,0.0,destination
ES->DE,0.0,destination
TR->UZ,0.0,origin
