event_time,coef,se,term,ci_low,ci_high
-12,0.3738147359157813,0.17633894471129052,et_m12,0.02819040428165187,0.7194390675499107
-11,-0.17686146532680946,0.09830885434260037,et_m11,-0.3695468198383062,0.015823889184687245
-10,-0.31376508127968966,0.07788858876223834,et_m10,-0.4664267152536768,-0.16110344730570253
-9,-0.37720138272444304,0.07413351806785907,et_m9,-0.5225030781374468,-0.23189968731143926
-8,-0.15622634345940944,0.07596504624917272,et_m8,-0.305117834107788,-0.007334852811030912
-7,-0.042716493317469295,0.08284236377263311,et_m7,-0.2050875263118302,0.1196545396768916
-6,0.13874181273644198,0.0676183944691042,et_m6,0.006209759576997764,0.2712738658958862
-5,0.265774464904303,0.07108264040101786,et_m5,0.126452489718308,0.405096440090298
-4,0.3059274538390778,0.08391634873778166,et_m4,0.14145141031302577,0.4704034973651299
-3,0.285820256659575,0.09549538403043435,et_m3,0.09864930395992366,0.47299120935922634
-2,0.38769394147426395,0.05987386602531085,et_m2,0.2703411640646547,0.5050467188838732
0,0.1839558402678182,0.03854351492948192,et_0,0.10841055100603363,0.25950112952960275
1,0.2636454715949265,0.029539494905368738,et_p1,0.2057480615804038,0.3215428816094492
2,0.24476173619618918,0.04853999644132271,et_p2,0.1496233431711967,0.3399001292211817
3,0.34712715651311343,0.06876024573106994,et_p3,0.21235707488021635,0.4818972381460105
4,0.3554711665224375,0.07425484375038972,et_p4,0.20993167277167363,0.5010106602732014
5,0.563210971464289,0.08777800906542492,et_p5,0.39116607369605616,0.7352558692325218
6,0.46549855560471964,0.08059587899224935,et_p6,0.3075306327799109,0.6234664784295284
7,0.338125970210867,0.07320362193634752,et_p7,0.19464687121562585,0.4816050692061081
8,0.27099424778218906,0.049183063914945827,et_p8,0.17459544250889525,0.36739305305548287
9,0.4214871320750728,0.06283219175740115,et_p9,0.2983360362305666,0.544638227919579
10,0.3698030169753694,0.06163193581354406,et_p10,0.24900442278082302,0.49060161116991574
11,0.44303776472741374,0.050126537021802225,et_p11,0.3447897521646814,0.541285777290146
12,0.8977843100698136,0.11358276290933556,et_p12,0.675162094767516,1.1204065253721114
