donor,weight,group
RO->DE,0.472250415396381,destination
TR->PK,0.14412364999879065,origin
TR->IQ,0.12095854496720104,origin
IT->DE,0.1053028962021068,destination
TR->SY,0.06205530909693993,origin
TR->NL,0.04481702794907959,origin
TR->FR,0.02722319111006227,origin
US->DE,0.015867125591637717,destination
TR->GR,0.007401839687801091,origin
TR->UZ,8.986320033785323e-22,origin
BA->DE,1.9313714874623972e-22,destination
GR->DE,5.1963230785308446e-23,destination
TR->AF,4.7859122191251425e-23,origin
BG->DE,0.0,destination
TR->GB,0.0,origin
XK->DE,0.0,destination
RS->DE,0.0,destination
GB->DE,0.0,destination
ES->DE,0.0,destination
TR->US,0.0,origin
