i,j,k,label,window,month,flow_jk,mu_hat_jk,anom_jk,w_ij,EOP,year
VE,EC,US,m12_24|ma3,m12_24,2019-01-01,1850.0,5611.02589240219,-3.565766109687634,0.0,-0.0,2019
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2019-01-01,1850.0,5611.02589240219,-3.565766109687634,0.0,-0.0,2019
VE,EC,US,m12_24|p90|ma3,m12_24,2019-01-01,1850.0,5611.02589240219,-3.565766109687634,0.0,-0.0,2019
VE,EC,US,m12_24|ma3,m12_24,2019-02-01,3072.0,6395.260553265358,-2.951229185657066,0.0,-0.0,2019
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2019-02-01,3072.0,6395.260553265358,-2.951229185657066,0.0,-0.0,2019
VE,EC,US,m12_24|p90|ma3,m12_24,2019-02-01,3072.0,6395.260553265358,-2.951229185657066,0.0,-0.0,2019
VE,EC,US,m12_24|ma3,m12_24,2019-03-01,4414.0,7082.722549494456,-2.2520134320644694,0.0,-0.0,2019
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2019-03-01,4414.0,7082.722549494456,-2.2520134320644694,0.0,-0.0,2019
VE,EC,US,m12_24|p90|ma3,m12_24,2019-03-01,4414.0,7082.722549494456,-2.2520134320644694,0.0,-0.0,2019
VE,EC,US,m12_24|ma3,m12_24,2019-04-01,4302.0,6611.040948480032,-2.016807172799095,0.0,-0.0,2019
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2019-04-01,4302.0,6611.040948480032,-2.016807172799095,0.0,-0.0,2019
VE,EC,US,m12_24|p90|ma3,m12_24,2019-04-01,4302.0,6611.040948480032,-2.016807172799095,0.0,-0.0,2019
VE,EC,US,m12_24|ma3,m12_24,2019-05-01,4510.0,6604.84850882883,-1.830580608730611,0.0,-0.0,2019
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2019-05-01,4510.0,6604.84850882883,-1.830580608730611,0.0,-0.0,2019
VE,EC,US,m12_24|p90|ma3,m12_24,2019-05-01,4510.0,6604.84850882883,-1.830580608730611,0.0,-0.0,2019
VE,EC,US,m12_24|ma3,m12_24,2019-06-01,4599.0,6850.955013879888,-1.9321988477261398,0.0,-0.0,2019
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2019-06-01,4599.0,6850.955013879888,-1.9321988477261398,0.0,-0.0,2019
VE,EC,US,m12_24|p90|ma3,m12_24,2019-06-01,4599.0,6850.955013879888,-1.9321988477261398,0.0,-0.0,2019
VE,EC,US,m12_24|ma3,m12_24,2019-07-01,4454.0,6617.268435542353,-1.8885944247738389,0.0,-0.0,2019
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2019-07-01,4454.0,6617.268435542353,-1.8885944247738389,0.0,-0.0,2019
VE,EC,US,m12_24|p90|ma3,m12_24,2019-07-01,4454.0,6617.268435542353,-1.8885944247738389,0.0,-0.0,2019
VE,EC,US,m12_24|ma3,m12_24,2019-08-01,3914.0,6819.4094933360375,-2.498628172385208,0.0,-0.0,2019
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2019-08-01,3914.0,6819.4094933360375,-2.498628172385208,0.0,-0.0,2019
VE,EC,US,m12_24|p90|ma3,m12_24,2019-08-01,3914.0,6819.4094933360375,-2.498628172385208,0.0,-0.0,2019
VE,EC,US,m12_24|ma3,m12_24,2019-09-01,3413.0,5514.25575693297,-2.0095699585452653,0.0,-0.0,2019
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2019-09-01,3413.0,5514.25575693297,-2.0095699585452653,0.0,-0.0,2019
VE,EC,US,m12_24|p90|ma3,m12_24,2019-09-01,3413.0,5514.25575693297,-2.0095699585452653,0.0,-0.0,2019
VE,EC,US,m12_24|ma3,m12_24,2019-10-01,3450.0,5652.236634868083,-2.0802785031593,0.0,-0.0,2019
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2019-10-01,3450.0,5652.236634868083,-2.0802785031593,0.0,-0.0,2019
VE,EC,US,m12_24|p90|ma3,m12_24,2019-10-01,3450.0,5652.236634868083,-2.0802785031593,0.0,-0.0,2019
VE,EC,US,m12_24|ma3,m12_24,2019-11-01,3233.0,5482.713805814114,-2.1577302554877833,0.0,-0.0,2019
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2019-11-01,3233.0,5482.713805814114,-2.1577302554877833,0.0,-0.0,2019
VE,EC,US,m12_24|p90|ma3,m12_24,2019-11-01,3233.0,5482.713805814114,-2.1577302554877833,0.0,-0.0,2019
VE,EC,US,m12_24|ma3,m12_24,2019-12-01,3563.0,6518.105265798942,-2.5994408340795174,0.0,-0.0,2019
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2019-12-01,3563.0,6518.105265798942,-2.5994408340795174,0.0,-0.0,2019
VE,EC,US,m12_24|p90|ma3,m12_24,2019-12-01,3563.0,6518.105265798942,-2.5994408340795174,0.0,-0.0,2019
VE,EC,US,m12_24|ma3,m12_24,2020-01-01,3128.0,5675.40042121725,-2.4014117335916083,0.0,-0.0,2020
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2020-01-01,3128.0,5675.40042121725,-2.4014117335916083,0.0,-0.0,2020
VE,EC,US,m12_24|p90|ma3,m12_24,2020-01-01,3128.0,5675.40042121725,-2.4014117335916083,0.0,-0.0,2020
VE,EC,US,m12_24|ma3,m12_24,2020-02-01,4549.0,7297.060528015849,-2.2846516239485593,0.0,-0.0,2020
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2020-02-01,4549.0,7297.060528015849,-2.2846516239485593,0.0,-0.0,2020
VE,EC,US,m12_24|p90|ma3,m12_24,2020-02-01,4549.0,7297.060528015849,-2.2846516239485593,0.0,-0.0,2020
VE,EC,US,m12_24|ma3,m12_24,2020-03-01,4255.0,5732.167142513938,-1.3856000240528925,0.1906229269649697,-0.2641271321876948,2020
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2020-03-01,4255.0,5732.167142513938,-1.3856000240528925,0.1906229269649697,-0.2641271321876948,2020
VE,EC,US,m12_24|p90|ma3,m12_24,2020-03-01,4255.0,5732.167142513938,-1.3856000240528925,0.0,-0.0,2020
VE,EC,US,m12_24|ma3,m12_24,2020-04-01,1710.0,2864.5217867149695,-1.531946977180395,0.39124317171293815,-0.5993637942481058,2020
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2020-04-01,1710.0,2864.5217867149695,-1.531946977180395,0.39124317171293815,-0.5993637942481058,2020
VE,EC,US,m12_24|p90|ma3,m12_24,2020-04-01,1710.0,2864.5217867149695,-1.531946977180395,0.0,-0.0,2020
VE,EC,US,m12_24|ma3,m12_24,2020-05-01,1098.0,2284.6491900554547,-1.7631134220917606,0.5977487624549821,-1.0538988661231183,2020
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2020-05-01,1098.0,2284.6491900554547,-1.7631134220917606,0.5977487624549821,-1.0538988661231183,2020
VE,EC,US,m12_24|p90|ma3,m12_24,2020-05-01,1098.0,2284.6491900554547,-1.7631134220917606,0.0,-0.0,2020
VE,EC,US,m12_24|ma3,m12_24,2020-06-01,696.0,1698.5618834851543,-1.7275800020053935,0.6158809017881639,-1.0639835295462798,2020
VE,EC,US,m12_24|z≥1.0|ma3,m12_24,2020-06-01,696.0,1698.5618834851543,-1.7275800020053935,0.6158809017881639,-1.0639835295462798,2020
VE,EC,US,m12_24|p90|ma3,m12_24,2020-06-01,696.0,1698.5618834851543,-1.7275800020053935,0.0,-0.0,2020
