geo,ObsValue,Indicator,freq,ObsTime,unit,geo_source
NL11,3029,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
IE01,41819,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL12,4461,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE93,19629,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL13,3370,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL23,1969,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKG2,7819,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE30,1122,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKD2,2954,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE50,502,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKF1,6033,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKH1,15833,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL21,4310,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKG1,7425,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL31,1823,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PL41,37564,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKF2,6215,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKG3,1136,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE41,19648,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PL43,17616,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL32,3624,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE94,18852,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKH2,3630,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEE3,14860,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEA4,8215,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE92,11412,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITC1,31883,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITC3,6833,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
FR61,52550,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITE3,12216,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE42,17699,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PL11,22939,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITC4,29436,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITD5,27924,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ES12,13362,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
FR62,57421,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ES13,6689,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PL12,44833,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL22,6471,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL33,3864,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKL1,16569,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEA3,8722,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE91,10227,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TR332,18552,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR411,2723,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ES21,9104,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
FR81,34969,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEE1,5436,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL41,6352,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TR310,14833,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR214,1304,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TR721,21561,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR243,2267,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TR521,49485,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITF63,3002,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR222,804,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
FR82,39906,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ES23,6361,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITF1,13590,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ES11,37245,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NO022,31722,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
SE062,38290,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TRB11,15251,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITG24,8703,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PT171,1356,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR211,2030,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TRB12,11166,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TRB23,8925,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR143,3322,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TR334,6766,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TRC22,19135,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
FI133,24976,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
SE072,68121,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
FI195,9837,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TR712,9404,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PT183,9102,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PT172,2036,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITF64,1437,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ES530,6287,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR244,5598,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TR632,18209,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR224,446,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TRC32,5872,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PT181,6689,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITE2,10650,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ES22,13083,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITF65,4013,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TR612,10479,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TR322,14863,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TR621,17474,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
FI193,23424,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
FI131,21168,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
FI184,7174,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
FI185,7228,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITE1,28939,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITF2,5593,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TR81,12011,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NO053,19054,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
SE071,29068,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ES616,17001,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR413,1142,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TR713,9278,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
FI187,7857,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
SE063,24833,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NO011,580,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PL31,31637,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL34,2308,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PL33,14708,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR245,2676,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR232,4115,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR223,1144,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PT184,10743,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ITG13,4093,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TRC34,6895,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ES614,15925,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEA35,1399,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEA33,380,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEE34,848,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL333,199,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE926,875,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR231,6792,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TRC12,8777,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ES615,12757,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ES618,17689,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR241,3723,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
ES521,7334,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
TR321,9824,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR233,3301,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
GR253,2893,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKL21,1312,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL336,664,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEE3A,996,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKH21,58,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEA44,1516,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEE38,689,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEA1B,1554,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE427,1546,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE425,2386,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE429,2103,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE916,1223,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PL124,8929,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEE16,1919,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEE32,825,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL224,953,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEE13,531,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEE11,189,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEA47,1568,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PL113,367,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKL15,678,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL412,1171,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKL16,648,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
PL512,5237,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEE14,642,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKL18,481,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL411,1594,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL342,1374,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEE15,603,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE422,189,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DE919,796,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL413,1748,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEA36,961,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEA1F,1314,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
UKL17,880,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL421,1069,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
DEA54,283,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
NL335,1659,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2003
