geo,ObsValue,Indicator,freq,ObsTime,unit,geo_source
NL11,3029,WATER GRID CELL,5 year,1975,km2,NUTS2003
IE01,41819,WATER GRID CELL,5 year,1975,km2,NUTS2003
NL12,4461,WATER GRID CELL,5 year,1975,km2,NUTS2003
DE93,19629,WATER GRID CELL,5 year,1975,km2,NUTS2003
NL13,3370,WATER GRID CELL,5 year,1975,km2,NUTS2003
NL23,1969,WATER GRID CELL,5 year,1975,km2,NUTS2003
UKG2,7819,WATER GRID CELL,5 year,1975,km2,NUTS2003
DE30,1122,WATER GRID CELL,5 year,1975,km2,NUTS2003
UKD2,2954,WATER GRID CELL,5 year,1975,km2,NUTS2003
DE50,502,WATER GRID CELL,5 year,1975,km2,NUTS2003
UKF1,6033,WATER GRID CELL,5 year,1975,km2,NUTS2003
UKH1,15833,WATER GRID CELL,5 year,1975,km2,NUTS2003
NL21,4310,WATER GRID CELL,5 year,1975,km2,NUTS2003
UKG1,7425,WATER GRID CELL,5 year,1975,km2,NUTS2003
NL31,1823,WATER GRID CELL,5 year,1975,km2,NUTS2003
PL41,37564,WATER GRID CELL,5 year,1975,km2,NUTS2003
UKF2,6215,WATER GRID CELL,5 year,1975,km2,NUTS2003
UKG3,1136,WATER GRID CELL,5 year,1975,km2,NUTS2003
DE41,19648,WATER GRID CELL,5 year,1975,km2,NUTS2003
PL43,17616,WATER GRID CELL,5 year,1975,km2,NUTS2003
NL32,3624,WATER GRID CELL,5 year,1975,km2,NUTS2003
DE94,18852,WATER GRID CELL,5 year,1975,km2,NUTS2003
UKH2,3630,WATER GRID CELL,5 year,1975,km2,NUTS2003
DEE3,14860,WATER GRID CELL,5 year,1975,km2,NUTS2003
DEA4,8215,WATER GRID CELL,5 year,1975,km2,NUTS2003
DE92,11412,WATER GRID CELL,5 year,1975,km2,NUTS2003
ITC1,31883,WATER GRID CELL,5 year,1975,km2,NUTS2003
ITC3,6833,WATER GRID CELL,5 year,1975,km2,NUTS2003
FR61,52550,WATER GRID CELL,5 year,1975,km2,NUTS2003
ITE3,12216,WATER GRID CELL,5 year,1975,km2,NUTS2003
DE42,17699,WATER GRID CELL,5 year,1975,km2,NUTS2003
PL11,22939,WATER GRID CELL,5 year,1975,km2,NUTS2003
ITC4,29436,WATER GRID CELL,5 year,1975,km2,NUTS2003
ITD5,27924,WATER GRID CELL,5 year,1975,km2,NUTS2003
ES12,13362,WATER GRID CELL,5 year,1975,km2,NUTS2003
FR62,57421,WATER GRID CELL,5 year,1975,km2,NUTS2003
ES13,6689,WATER GRID CELL,5 year,1975,km2,NUTS2003
PL12,44833,WATER GRID CELL,5 year,1975,km2,NUTS2003
NL22,6471,WATER GRID CELL,5 year,1975,km2,NUTS2003
NL33,3864,WATER GRID CELL,5 year,1975,km2,NUTS2003
UKL1,16569,WATER GRID CELL,5 year,1975,km2,NUTS2003
DEA3,8722,WATER GRID CELL,5 year,1975,km2,NUTS2003
DE91,10227,WATER GRID CELL,5 year,1975,km2,NUTS2003
TR332,18552,WATER GRID CELL,5 year,1975,km2,NUTS2003
GR411,2723,WATER GRID CELL,5 year,1975,km2,NUTS2003
ES21,9104,WATER GRID CELL,5 year,1975,km2,NUTS2003
FR81,34969,WATER GRID CELL,5 year,1975,km2,NUTS2003
DEE1,5436,WATER GRID CELL,5 year,1975,km2,NUTS2003
NL41,6352,WATER GRID CELL,5 year,1975,km2,NUTS2003
TR310,14833,WATER GRID CELL,5 year,1975,km2,NUTS2003
GR214,1304,WATER GRID CELL,5 year,1975,km2,NUTS2003
TR721,21561,WATER GRID CELL,5 year,1975,km2,NUTS2003
GR243,2267,WATER GRID CELL,5 year,1975,km2,NUTS2003
TR521,49485,WATER GRID CELL,5 year,1975,km2,NUTS2003
ITF63,3002,WATER GRID CELL,5 year,1975,km2,NUTS2003
GR222,804,WATER GRID CELL,5 year,1975,km2,NUTS2003
FR82,39906,WATER GRID CELL,5 year,1975,km2,NUTS2003
ES23,6361,WATER GRID CELL,5 year,1975,km2,NUTS2003
ITF1,13590,WATER GRID CELL,5 year,1975,km2,NUTS2003
ES11,37245,WATER GRID CELL,5 year,1975,km2,NUTS2003
NO022,31722,WATER GRID CELL,5 year,1975,km2,NUTS2003
SE062,38290,WATER GRID CELL,5 year,1975,km2,NUTS2003
TRB11,15251,WATER GRID CELL,5 year,1975,km2,NUTS2003
ITG24,8703,WATER GRID CELL,5 year,1975,km2,NUTS2003
PT171,1356,WATER GRID CELL,5 year,1975,km2,NUTS2003
