geo,ObsValue,Indicator,freq,ObsTime,unit,geo_source
AT,105704,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
BE,38627,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
BG,139760,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
CH,51983,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
CY,11640,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
CZ,99318,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DE,450623,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DK,54300,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
EE,57165,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
EL,165982,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
ES,637328,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
FI,425618,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
HR,71288,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
HU,117168,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
IE,88275,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
IS,129279,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
IT,378668,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
LI,205,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
LT,81734,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
LU,3258,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
LV,81369,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
ME,17491,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
MK,32040,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
MT,393,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
NL,47044,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
NO,407940,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
PL,392879,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
PT,115853,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
RO,300259,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
SE,566666,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
SI,25525,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
SK,61746,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
TR,982612,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
UK,308258,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
AT1,29699,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
AT2,32691,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
AT3,43314,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
BE1,205,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
BE2,17123,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
BE3,21299,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
BG3,86028,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
BG4,53732,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
CH0,51983,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
CY0,11640,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
CZ0,99318,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DE1,45353,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DE2,88929,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DE3,1123,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DE4,37365,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DE5,509,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DE6,944,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DE7,26605,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DE8,29037,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DE9,60145,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DEA,42968,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DEB,25025,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DEC,3242,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DED,23239,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DEE,25867,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DEF,19856,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DEG,20416,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DK0,54300,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
EE0,57165,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
EL1,71196,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
EL2,67866,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
EL3,4812,DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
