geo,ObsValue,Indicator,freq,ObsTime,unit,geo_source
AT,105704,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
BE,38627,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
BG,139760,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
CH,51983,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
CY,11640,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
CZ,99318,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
DE,450623,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
DK,54300,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
EE,57165,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
EL,165982,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
ES,637328,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
FI,425618,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
HR,71288,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
HU,117168,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
IE,88275,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
IS,129279,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
IT,378668,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
LI,205,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
LT,81734,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
LU,3258,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
LV,81369,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
ME,17491,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
MK,32040,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
MT,393,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
NL,47044,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
NO,407940,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
PL,392879,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
PT,115853,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
RO,300259,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
SE,566666,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
SI,25525,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
SK,61746,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
TR,982612,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
UK,308258,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
AT1,29699,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
AT2,32691,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
AT3,43314,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
BE1,205,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
BE2,17123,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
BE3,21299,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
BG3,86028,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
BG4,53732,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
CH0,51983,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
CY0,11640,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
CZ0,99318,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
DE1,45353,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
DE2,88929,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
DE3,1123,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
DE4,37365,LOW DENSITY RURAL GRID CELL,5 year,1975,km2,NUTS2010
