geo,ObsValue,Indicator,freq,ObsTime,unit,geo_source
AT,105704,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
BE,38627,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
BG,139760,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
CH,51983,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
CY,11640,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
CZ,99318,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DE,450623,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
DK,54300,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
EE,57165,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
EL,165982,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
ES,637328,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
FI,425618,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
HR,71288,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
HU,117168,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
IE,88275,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
IS,129279,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
IT,378668,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
LI,205,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
LT,81734,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
LU,3258,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
LV,81369,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
ME,17491,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
MK,32040,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
MT,393,RURAL CLUSTER GRID CELL,5 year,1975,km2,NUTS2010
