geo,ObsValue,Indicator,freq,ObsTime,unit,geo_source
AT,105704,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
BE,38627,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
BG,139760,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
CH,51983,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
CY,11640,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
CZ,99318,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
DE,450623,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
DK,54300,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
EE,57165,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
EL,165982,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
ES,637328,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
FI,425618,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
HR,71288,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
HU,117168,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
IE,88275,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
IS,129279,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
IT,378668,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
LI,205,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
LT,81734,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
LU,3258,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
LV,81369,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
ME,17491,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
MK,32040,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
MT,393,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
NL,47044,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
NO,407940,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
PL,392879,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
PT,115853,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
RO,300259,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
SE,566666,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
SI,25525,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
SK,61746,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
TR,982612,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
UK,308258,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
AT1,29699,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
AT2,32691,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
AT3,43314,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
BE1,205,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
BE2,17123,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
BE3,21299,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
BG3,86028,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
BG4,53732,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
CH0,51983,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
CY0,11640,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
CZ0,99318,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
DE1,45353,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
DE2,88929,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
DE3,1123,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
DE4,37365,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
DE5,509,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
DE6,944,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
DE7,26605,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
DE8,29037,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
DE9,60145,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
DEA,42968,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
DEB,25025,URBAN CENTRE GRID CELL,5 year,1975,km2,NUTS2010
