geo,ObsValue,Indicator,freq,ObsTime,unit,geo_source
AT,105718,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT1,29683,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT11,4994,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT111,880,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT112,2258,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT2,32690,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT211,2555,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT212,5197,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT213,4259,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT22,20679,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT221,1554,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT113,1856,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT121,4232,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT122,4254,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT12,24169,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT123,1549,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT124,5808,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT125,3038,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT126,3428,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT127,1860,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT13,520,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT130,520,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT21,12011,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT222,4119,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT223,4100,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT224,4241,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT3,43345,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT31,15100,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT312,2199,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT313,3355,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT314,2818,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT315,3176,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT32,9016,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT321,1289,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT225,2798,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT226,3867,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT311,3552,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE2,17143,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE21,3620,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE211,1262,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE212,648,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE213,1710,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE22,3067,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE221,1144,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE222,1118,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE223,805,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT322,5540,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT323,2187,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT331,1556,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT332,2633,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT33,15932,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT333,2547,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT334,4186,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT335,5010,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT34,3297,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT341,2368,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
AT342,929,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE,38631,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE1,203,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE10,203,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE100,203,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE23,3797,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE231,594,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE232,437,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE233,428,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE234,1191,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE235,536,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE242,1460,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE25,3997,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE251,839,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE252,464,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE253,700,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE254,512,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE255,367,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE256,349,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE257,414,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE258,352,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE3,21285,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE31,1386,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE310,1386,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE32,4798,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE321,627,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE322,699,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE323,736,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE324,132,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE325,653,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE326,1183,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE327,768,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE236,611,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE24,2662,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE241,1202,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BG,139768,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE33,4849,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE331,839,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE332,995,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE334,486,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE335,1469,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE336,1060,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE34,5622,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE341,406,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE342,1321,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE343,1208,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE344,1707,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE345,980,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
BE35,4630,SUBURBAN OR PERI-URBAN GRID CELL,5 year,1975,km2,NUTS2013
