geo,ObsValue,Indicator,freq,ObsTime,unit,geo_source
AL,36272,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CZ,99321,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DE,450476,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DK,54366,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CY,11653,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BE,38639,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BG,139793,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CH,51986,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
AT,105706,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
EE,57125,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
EL,165885,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ES,637290,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FI,425104,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
FR,803990,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
HR,71198,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
HU,117153,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
IE,88137,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
IS,129328,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
IT,378648,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DEA,42972,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CH0,51986,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
LV,81348,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DE7,26596,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
EL5,65049,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
ME,17497,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
MT,391,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
NO,487069,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
BG3,86058,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
DE1,45350,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
MK,32033,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
CY0,11653,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
LT,81736,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
LU,3262,SEMI-DENSE URBAN CLUSTER GRID CELL,5 year,1975,km2,NUTS2021
